product_sold;date;quantity;unit_price;total_price;currency;site;discount_coupon;discount_value;buyer_birth_date;buyer_name;delivery_country;invoice_id
NEW MEGANIUM RG35XX;16/07/2024;2;90.0;180;EUR;Etsy;COUPONmbYaK;41.77;11/09/1988;Amanda Edwards;USA;ed3757a2-926c-4139-8f18-41c56fc5f7c1
NEW MEGANIUM RG 40XXV;07/07/2024;2;100.0;200;GBP;Shopee;COUPONKuLNE;19.43;30/01/1973;James Williams DVM;Canada;f4f2db2c-2be3-4242-907d-9a011f6c96b7
NEW MEGANIUM RG35XX;04/07/2024;5;90.0;450;USD;Shopee;COUPONMUice;25.73;18/02/1965;Vincent Peters;Germany;eee84ba9-3f74-4b5e-bbd7-debd64fa36d6
NEW MEGANIUM RG35XX;23/08/2024;5;90.0;450;GBP;Shopee;COUPONjCdqS;86.68;29/12/1987;Kevin Craig;Australia;89db0744-0a57-4d60-b471-ce1652c69078
MEGANIUM RG353M;12/10/2024;5;110.0;550;GBP;Shopee;COUPONABeIK;86.51;07/11/1987;Lori Duarte;UK;b835d960-9478-4b9a-bc86-d495a5364bd4
NEW MEGANIUM RG 40XXV;04/10/2024;4;100.0;400;EUR;Shopee;COUPONwSfOF;41.35;15/10/1965;Geoffrey Rodriguez;Canada;7d02c5cf-33ae-4c14-84ed-5c4b64f61e68
NEW MEGANIUM RG28XX;21/10/2024;4;70.0;280;GBP;Etsy;COUPONoRkOI;24.72;02/03/1982;Ryan Spencer;Canada;324a203e-e304-4d8a-9eec-cec2d32da419
NEW MEGANIUM RG 40XXV;04/06/2024;4;100.0;400;EUR;Etsy;COUPONJFlOA;106.26;10/06/1991;Eric Stein;UK;05317d03-7dc3-4c88-a62f-8e610302cc10
MEGANIUM RG353M;23/10/2024;1;110.0;110;GBP;Shopee;COUPONACTNZ;31.28;06/03/1973;Edward Chang;USA;05d8f9a4-32b3-4ac9-8995-88bb686f5247
NEW MEGANIUM RG 40XXV;05/11/2024;5;100.0;500;EUR;Etsy;COUPONCZWqO;144.01;25/02/1994;Rachel Howard;Canada;9af7b462-f7ef-4725-98df-f4e7e4d96e71
NEW MEGANIUM RG35XX;13/07/2024;2;90.0;180;EUR;Shopee;COUPONUYWDR;16.97;20/06/2005;Jermaine Hunter DVM;UK;e741237c-834a-43f4-839b-0efb6f911c07
NEW MEGANIUM RG35XX;30/08/2024;3;90.0;270;GBP;AliExpress;COUPONmLuHb;34.67;15/10/1989;Kristen Ellis;Germany;ae3554cb-b06b-45b3-ad2a-907b5a5c1683
MEGANIUM RG353M;31/08/2024;5;110.0;550;USD;Etsy;COUPONMKNZi;99.86;30/08/1981;Michael Hancock;Australia;26adfedc-e93d-4d0e-bd08-ac38b615f033
NEW MEGANIUM RG28XX;07/08/2024;3;70.0;210;GBP;Etsy;COUPONmWhFk;25.79;06/06/1972;Mrs. Danielle Rodgers;USA;d372bd0e-3e9c-4b92-9dc3-2060233b8ef9
MEGANIUM RG353M;24/08/2024;2;110.0;220;USD;Etsy;COUPONKOUXq;63.58;28/12/1967;Stephanie Villanueva;UK;239ff569-c029-4bda-a5cf-5efd4de25a82
NEW MEGANIUM RG 40XXV;05/08/2024;1;100.0;100;USD;Etsy;COUPONoMqmz;28.33;25/04/2000;Michael Nguyen;France;2122a264-2df7-44ea-84c1-33fda5eda065
NEW MEGANIUM RG35XX;15/07/2024;3;90.0;270;EUR;Shopee;COUPONzVHWX;67.93;03/04/1967;Sharon Graves;Canada;fde78978-9a41-4728-9652-82ff16b77957
NEW MEGANIUM RG 40XXV;01/07/2024;3;100.0;300;EUR;Shopee;COUPONbsOfW;45.9;31/05/1980;Erin Thomas;UK;25a12800-bad8-440a-aebb-7fd1dc5de3d0
NEW MEGANIUM RG 40XXV;02/11/2024;1;100.0;100;EUR;Etsy;COUPONIKrKv;17.7;15/12/1990;Shawn Mcclure;Australia;86a8b5ec-8e44-4a83-9220-c4cec609e6b1
NEW MEGANIUM RG CubeXX;21/07/2024;3;80.0;240;GBP;AliExpress;COUPONtWtZY;37.57;17/04/1981;Natalie Wells;Japan;5369f9fe-f90d-4b63-9b5d-9dbe771fba98
NEW MEGANIUM RG 40XXV;22/09/2024;5;100.0;500;GBP;Shopee;COUPONqcJQe;40.1;08/07/1971;Andrew Potter;UK;87c098c0-8481-4a23-9b5d-7df1613e0455
NEW MEGANIUM RG 40XXV;24/06/2024;2;100.0;200;EUR;Etsy;COUPONhbJwm;43.4;04/01/1971;Kathryn Gonzalez;UK;2602b758-e884-4153-abbb-f59158f3df09
NEW MEGANIUM RG 40XXV;17/10/2024;4;100.0;400;GBP;AliExpress;COUPONxCNoS;70.61;16/07/2004;Jonathan Sandoval;Germany;c5718e2b-d3c6-4fce-b23b-0a9aebb9e32b
MEGANIUM RG353M;23/05/2024;3;110.0;330;GBP;AliExpress;COUPONaMilh;85.67;07/08/1995;Gary Clayton;USA;dac021da-e41a-4938-9cf7-748efe4f3e15
MEGANIUM RG353M;24/09/2024;2;110.0;220;USD;AliExpress;COUPONKCyYD;39.8;30/01/1977;Joseph Burnett;Australia;ce72639b-1e0d-4790-bc0c-695aa42d7b59
NEW MEGANIUM RG28XX;17/06/2024;1;70.0;70;EUR;AliExpress;COUPONYuhco;15.85;03/03/1969;Matthew Allen;UK;5243dba6-2ee4-4b75-8c25-e9ae755e0949
NEW MEGANIUM RG CubeXX;20/05/2024;2;80.0;160;USD;AliExpress;COUPONMkQrY;13.54;23/03/1987;Brent Diaz;USA;cbe4227a-df73-44c4-9de8-7f7d11f2ff51
NEW MEGANIUM RG 40XXV;03/06/2024;4;100.0;400;USD;Shopee;COUPONURTIV;71.08;27/04/2004;Andrew Anderson;Japan;eaacff60-9892-4a76-8237-50c26da472cc
NEW MEGANIUM RG 40XXV;01/08/2024;4;100.0;400;EUR;Etsy;COUPONksqFS;111.55;20/08/1975;Samuel Meyer MD;UK;87908c3b-7ee4-4b63-b17b-96023b9d0be9
NEW MEGANIUM RG35XX;16/10/2024;3;90.0;270;EUR;Etsy;COUPONaghQF;56.29;27/08/1966;Joshua Mcdowell;France;36f9dad4-3833-4b29-bd68-0ecc4b5aa891
NEW MEGANIUM RG28XX;22/09/2024;3;70.0;210;GBP;AliExpress;COUPONYmCnq;12.0;29/08/1988;Kathleen Medina;France;b657a2e4-844b-45be-b280-9881f8f42255
NEW MEGANIUM RG 40XXV;07/08/2024;2;100.0;200;GBP;Etsy;COUPONMVoOO;13.59;03/01/1974;Nathan Rowe;Japan;8fc3d39d-db5d-4d8c-ba1b-e596adc253a4
NEW MEGANIUM RG35XX;29/10/2024;2;90.0;180;EUR;AliExpress;COUPONmUfhX;41.05;08/02/1968;Tiffany Rosario;Canada;3db2d140-4e78-4a77-9d7e-f56d75c81e80
NEW MEGANIUM RG CubeXX;12/08/2024;3;80.0;240;USD;Etsy;COUPONljCpp;13.59;09/09/1983;Phillip Barnes;Canada;de8b2298-1ecb-4424-81b8-95039d5e0fbe
NEW MEGANIUM RG35XX;27/06/2024;4;90.0;360;USD;Shopee;COUPONfsWOj;92.77;15/11/1994;William Flores;France;645384e9-78b0-4f3f-9ee8-ab8e3af6f204
NEW MEGANIUM RG28XX;23/05/2024;5;70.0;350;GBP;Shopee;COUPONTAWrR;87.56;02/08/1993;Jeffrey Allen;Australia;d378621c-24f1-43a7-8535-3b41878107e0
NEW MEGANIUM RG28XX;18/07/2024;2;70.0;140;GBP;Etsy;COUPONdDsow;18.89;18/02/1986;Justin Hunter;UK;93537a5b-b1a8-41a6-a51c-ad49d73e82ce
MEGANIUM RG353M;20/08/2024;4;110.0;440;EUR;AliExpress;COUPONTNAqo;59.64;21/05/1976;Michael Henry;UK;f82e0a80-cd0f-4e4e-aa9e-297c8568f2e2
MEGANIUM RG353M;05/09/2024;3;110.0;330;USD;AliExpress;COUPONQThGH;78.33;24/01/2004;Tracy Mcdonald;Japan;eb3202f5-ca9e-47b5-9920-3483358ae874
NEW MEGANIUM RG28XX;24/05/2024;5;70.0;350;EUR;Etsy;COUPONKphND;71.26;17/05/1989;Julie Wright;UK;08a26107-1bfa-4a71-9207-0517c54cc33b
NEW MEGANIUM RG 40XXV;20/06/2024;1;100.0;100;USD;Etsy;COUPONviMfr;13.41;07/01/1993;Heather Collins;Germany;93662354-82f1-4e96-8e73-715877bee31e
NEW MEGANIUM RG CubeXX;12/08/2024;1;80.0;80;EUR;AliExpress;COUPONLhQlK;6.8;08/06/1964;Danny Calderon;USA;83d31198-36f5-4f90-accd-5d1f741644be
MEGANIUM RG353M;20/09/2024;2;110.0;220;USD;AliExpress;COUPONreeGr;11.46;21/10/1972;Mark Kelly;Australia;19c2f036-92c3-40a5-ac42-de7e171cae61
NEW MEGANIUM RG35XX;23/06/2024;2;90.0;180;EUR;Etsy;COUPONSkbiE;13.67;21/11/1980;Mr. Ricky Mooney;USA;630420b6-f439-4972-83ab-8afbc39c6c42
NEW MEGANIUM RG28XX;17/07/2024;1;70.0;70;GBP;Etsy;COUPONTaQPw;7.64;04/06/1974;Joshua Stuart;France;86ff0c75-9206-477e-974b-501545c761d1
NEW MEGANIUM RG 40XXV;09/08/2024;1;100.0;100;EUR;Etsy;COUPONOdSOS;20.51;05/01/1999;Valerie George;UK;dca57350-73de-4da4-b0fd-e0544f96cf3d
MEGANIUM RG353M;16/07/2024;2;110.0;220;USD;Etsy;COUPONoxZUg;36.49;02/02/1971;Terri Grant;Canada;f5bdb4dc-1bff-4ec6-8787-260c16a0606a
MEGANIUM RG353M;10/11/2024;1;110.0;110;GBP;Shopee;COUPONTLRWt;6.3;06/05/1996;Robert Valentine;Australia;b867bbe5-8491-4431-bdfe-b2ecc76d904d
MEGANIUM RG353M;02/07/2024;4;110.0;440;USD;AliExpress;COUPONywHiK;22.26;11/05/2006;Trevor Carr;Japan;13759701-a456-4569-89b8-2e4a997e6404
NEW MEGANIUM RG35XX;06/07/2024;5;90.0;450;EUR;Etsy;COUPONwJNbx;92.93;19/11/2005;Kathryn Hall;Japan;a242b39d-911a-497d-abb2-3c76bc22d800
